system:index,NDSI,doy,lat,long,name,year,.geo
2016_01_07_3,,7.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_07_4,,7.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_07_5,,7.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_08_0,,8.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_08_1,,8.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_08_2,,8.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_08_3,,8.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_08_4,,8.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_08_5,,8.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_09_0,,9.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_09_1,,9.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_09_2,,9.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_09_3,,9.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_09_4,,9.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_09_5,,9.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_10_0,,10.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_10_1,,10.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_10_2,,10.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_10_3,,10.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_10_4,,10.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_10_5,,10.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_11_0,,11.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_11_1,,11.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_11_2,,11.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_11_3,,11.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_11_4,,11.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_11_5,,11.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_12_0,,12.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_12_1,,12.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_12_2,,12.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_12_3,,12.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_12_4,,12.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_12_5,,12.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_13_0,,13.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_13_1,,13.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_13_2,,13.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_13_3,,13.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_13_4,,13.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_13_5,,13.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_14_0,,14.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_14_1,,14.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_14_2,,14.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_14_3,,14.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_14_4,,14.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_14_5,,14.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_15_0,,15.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_15_1,,15.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_15_2,,15.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_15_3,,15.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_15_4,,15.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_15_5,,15.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_16_0,,16.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_16_1,,16.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_16_2,,16.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_16_3,,16.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_16_4,,16.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_16_5,,16.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_17_0,,17.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_17_1,,17.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_17_2,,17.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_17_3,,17.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_17_4,,17.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_17_5,,17.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_18_0,,18.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_18_1,,18.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_18_2,,18.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_18_3,,18.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_18_4,,18.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_18_5,,18.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_19_0,,19.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_19_1,,19.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_19_2,,19.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_19_3,,19.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_19_4,,19.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_19_5,,19.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_20_0,,20.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_20_1,,20.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_20_2,,20.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_20_3,,20.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_20_4,,20.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_20_5,,20.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_21_0,,21.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_21_1,,21.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_21_2,,21.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_21_3,,21.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_21_4,,21.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_21_5,,21.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_22_0,,22.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_22_1,,22.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_22_2,,22.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_22_3,,22.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_22_4,,22.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
