Name,Latitude,Longitude,Elevation
Phenocam1,N69.57560°,W138.90460°,110
Phenocam2,N69.57570°,W138.90525°,87
Phenocam3,N69.57781°,W138.91277°,83
Phenocam4,N69.57515°,W138.89453°,17
Phenocam5,N69.57651°,W138.86711°,67
Phenocam6,N69.57483°,W138.86305°,70
