system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20160328T211332_20160328T211332_T07WET_0,2169,6931,6917,7581,7541,7129,7189,94,94,32607,0.5225621835791328,-0.03072739632902787,-0.023896809232858113,88,9.441726045963684E-4,5.71057429436404E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160328T211332_20160328T211332_T07WET_1,2793,7022,7025,7675,7640,7313,7328,97,96,32607,0.43104501935221023,-0.02415265545769949,-0.02084446819882416,88,5.833506994872945E-4,4.3449182715021037E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160328T211332_20160328T211332_T07WET_2,2180,6930,6936,7537,7553,7197,7197,94,94,32607,0.5217200526546731,-0.023075878919505903,-0.024135593220338983,88,5.324961375775492E-4,5.825267942066043E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160328T211332_20160328T211332_T07WET_3,2786,6954,6996,7569,7578,7326,7304,97,97,32607,0.43038233490083827,-0.016314199395770394,-0.01841150383013036,88,2.661530956404175E-4,3.3898346030273164E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160328T211332_20160328T211332_T07WET_4,2709,6911,6915,7523,7557,7336,7307,96,96,32607,0.43703241895261846,-0.012584965340870852,-0.016819160387513455,88,1.5838135130660688E-4,2.828841485951137E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160328T211332_20160328T211332_T07WET_5,2169,6931,6917,7581,7541,7129,7189,94,94,32607,0.5225621835791328,-0.03072739632902787,-0.023896809232858113,88,9.441726045963684E-4,5.71057429436404E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160328T211332_20160329T000000_T07WET_0,2169,6931,6917,7581,7541,7129,7189,94,94,32607,0.5225621835791328,-0.03072739632902787,-0.023896809232858113,88,9.441726045963684E-4,5.71057429436404E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160328T211332_20160329T000000_T07WET_1,2793,7022,7025,7675,7640,7313,7328,97,96,32607,0.43104501935221023,-0.02415265545769949,-0.02084446819882416,88,5.833506994872945E-4,4.3449182715021037E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160328T211332_20160329T000000_T07WET_2,2180,6930,6936,7537,7553,7197,7197,94,94,32607,0.5217200526546731,-0.023075878919505903,-0.024135593220338983,88,5.324961375775492E-4,5.825267942066043E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160328T211332_20160329T000000_T07WET_3,2786,6954,6996,7569,7578,7326,7304,97,97,32607,0.43038233490083827,-0.016314199395770394,-0.01841150383013036,88,2.661530956404175E-4,3.3898346030273164E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160328T211332_20160329T000000_T07WET_4,2709,6911,6915,7523,7557,7336,7307,96,96,32607,0.43703241895261846,-0.012584965340870852,-0.016819160387513455,88,1.5838135130660688E-4,2.828841485951137E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160328T211332_20160329T000000_T07WET_5,2169,6931,6917,7581,7541,7129,7189,94,94,32607,0.5225621835791328,-0.03072739632902787,-0.023896809232858113,88,9.441726045963684E-4,5.71057429436404E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160410T212512_20160410T212513_T07WET_0,568,7958,8204,8864,9070,8607,8659,1,1,32607,0.8704970360237118,-0.014710091007956042,-0.02318235659089627,101,2.1638677408503945E-4,5.374216053677384E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160410T212512_20160410T212513_T07WET_1,451,8195,8182,8916,8874,8382,8368,0,0,32607,0.8955172014363489,-0.030870620881026708,-0.029346943510033637,101,9.529949450767902E-4,8.612428804417805E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160410T212512_20160410T212513_T07WET_2,633,8025,8279,8785,9090,8454,8810,0,0,32607,0.8579443447037702,-0.019200649689657172,-0.01564245810055866,101,3.686649318027095E-4,2.446864905444857E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160410T212512_20160410T212513_T07WET_3,494,7738,7797,8456,8514,8067,8093,0,0,32607,0.8808346399710529,-0.023542940144041638,-0.025350755705425422,101,5.542699738658624E-4,6.426607263604337E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160410T212512_20160410T212513_T07WET_4,455,7583,7591,8318,8276,7945,7933,0,0,32607,0.8869003231419339,-0.022935497755641642,-0.021161083348756864,101,5.260370087782693E-4,4.477914185630777E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160410T212512_20160410T212513_T07WET_5,568,7958,8204,8864,9070,8607,8659,1,1,32607,0.8704970360237118,-0.014710091007956042,-0.02318235659089627,101,2.1638677408503945E-4,5.374216053677384E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160410T212513_20160410T230951_T07WET_0,568,7958,8204,8864,9070,8607,8659,1,1,32607,0.8704970360237118,-0.014710091007956042,-0.02318235659089627,101,2.1638677408503945E-4,5.374216053677384E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160410T212513_20160410T230951_T07WET_1,451,8195,8182,8916,8874,8382,8368,0,0,32607,0.8955172014363489,-0.030870620881026708,-0.029346943510033637,101,9.529949450767902E-4,8.612428804417805E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160410T212513_20160410T230951_T07WET_2,633,8025,8279,8785,9090,8454,8810,0,0,32607,0.8579443447037702,-0.019200649689657172,-0.01564245810055866,101,3.686649318027095E-4,2.446864905444857E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160410T212513_20160410T230951_T07WET_3,494,7738,7797,8456,8514,8067,8093,0,0,32607,0.8808346399710529,-0.023542940144041638,-0.025350755705425422,101,5.542699738658624E-4,6.426607263604337E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160410T212513_20160410T230951_T07WET_4,455,7583,7591,8318,8276,7945,7933,0,0,32607,0.8869003231419339,-0.022935497755641642,-0.021161083348756864,101,5.260370087782693E-4,4.477914185630777E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160410T212513_20160410T230951_T07WET_5,568,7958,8204,8864,9070,8607,8659,1,1,32607,0.8704970360237118,-0.014710091007956042,-0.02318235659089627,101,2.1638677408503945E-4,5.374216053677384E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160414T210332_20160414T210335_T07WET_0,1425,7598,7431,8154,8103,8007,7893,3,7,32607,0.6781842818428184,-0.009095971783924262,-0.01312828207051763,105,8.273670250515876E-5,1.7235178841649667E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160414T210332_20160414T210335_T07WET_1,1917,9044,8943,10085,10039,10011,9946,26,27,32607,0.6469613259668509,-0.0036823248407643313,-0.0046534901175881915,105,1.3559516232079038E-5,2.1654970271106017E-5,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160414T210332_20160414T210335_T07WET_2,1468,7568,7579,8181,8203,7903,7960,2,4,32607,0.6754725323311594,-0.017284257647351406,-0.015034337684835737,105,2.987455535324538E-4,2.2603130577234735E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160414T210332_20160414T210335_T07WET_3,1479,7566,7625,8228,8327,7999,8075,6,8,32607,0.6750878734622144,-0.01411228199913724,-0.015363980002438727,105,1.9915650059010415E-4,2.3605187713102833E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160414T210332_20160414T210335_T07WET_4,1508,7477,7491,8297,8237,8092,8025,3,2,32607,0.6648516501833537,-0.012508389773628654,-0.013036526872463412,105,1.5645981345232288E-4,1.6995103126020878E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160414T210332_20160414T210335_T07WET_5,1425,7598,7431,8154,8103,8007,7893,3,7,32607,0.6781842818428184,-0.009095971783924262,-0.01312828207051763,105,8.273670250515876E-5,1.7235178841649667E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160414T210335_20160414T230529_T07WET_0,1425,7598,7431,8154,8103,8007,7893,3,7,32607,0.6781842818428184,-0.009095971783924262,-0.01312828207051763,105,8.273670250515876E-5,1.7235178841649667E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160414T210335_20160414T230529_T07WET_1,1917,9044,8943,10085,10039,10011,9946,26,27,32607,0.6469613259668509,-0.0036823248407643313,-0.0046534901175881915,105,1.3559516232079038E-5,2.1654970271106017E-5,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160414T210335_20160414T230529_T07WET_2,1468,7568,7579,8181,8203,7903,7960,2,4,32607,0.6754725323311594,-0.017284257647351406,-0.015034337684835737,105,2.987455535324538E-4,2.2603130577234735E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160414T210335_20160414T230529_T07WET_3,1479,7566,7625,8228,8327,7999,8075,6,8,32607,0.6750878734622144,-0.01411228199913724,-0.015363980002438727,105,1.9915650059010415E-4,2.3605187713102833E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160414T210335_20160414T230529_T07WET_4,1508,7477,7491,8297,8237,8092,8025,3,2,32607,0.6648516501833537,-0.012508389773628654,-0.013036526872463412,105,1.5645981345232288E-4,1.6995103126020878E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160414T210335_20160414T230529_T07WET_5,1425,7598,7431,8154,8103,8007,7893,3,7,32607,0.6781842818428184,-0.009095971783924262,-0.01312828207051763,105,8.273670250515876E-5,1.7235178841649667E-4,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160423T213522_20160423T213524_T07WET_0,596,8315,8402,9126,9197,8463,8579,0,0,32607,0.8675261169148699,-0.037694013303769404,-0.034765976597659766,114,0.001420837682824153,0.0012086725402095796,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160423T213522_20160423T213524_T07WET_1,579,8281,8278,8969,8982,8495,8447,0,0,32607,0.8692559557412216,-0.027141548327989005,-0.03069596649262723,114,7.36663512384688E-4,9.422420800691807E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160423T213522_20160423T213524_T07WET_2,632,7820,7847,8481,8486,7980,7999,0,0,32607,0.8509258167236703,-0.030435574995443776,-0.02954200788595693,114,9.263239603510019E-4,8.727300083600061E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160423T213522_20160423T213524_T07WET_3,647,7831,7866,8525,8588,8106,8156,0,0,32607,0.8479971807823329,-0.025193914978053032,-0.025800286669851888,114,6.34733266679561E-4,6.656546939301621E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160423T213522_20160423T213524_T07WET_4,598,7804,7801,8529,8559,8028,8095,0,0,32607,0.8576020954875581,-0.03025910491030984,-0.027861174492614386,114,9.156131741056747E-4,7.762448881974792E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160423T213522_20160423T213524_T07WET_5,596,8315,8402,9126,9197,8463,8579,0,0,32607,0.8675261169148699,-0.037694013303769404,-0.034765976597659766,114,0.001420837682824153,0.0012086725402095796,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160423T213524_20160423T232407_T07WET_0,596,8315,8402,9126,9197,8463,8579,0,0,32607,0.8675261169148699,-0.037694013303769404,-0.034765976597659766,114,0.001420837682824153,0.0012086725402095796,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
